id;idaction;libelleaction;statutaction;codeaction
1;76336;Intranet collaborative;Manager Buckinghamshire;Portugal
2;16834;Bedfordshire Unbranded;back-end algorithm Steel;Rest
3;55506;Nevada bus Markets;Granite teal compress;Incredible Frozen Chicken customer loyalty portals
4;42872;concept;cyan Personal Loan Account RAM;Refined Corporate Sharable
5;30540;hacking;compressing;Denmark Division
6;31777;magenta solid state;Syrian Pound Director Producer;parse
7;97994;Mouse salmon;granular Accountability;capacitor haptic Denar
8;16305;Regional task-force;index Program synthesize;Executive back-end Towels
9;86741;Mississippi quantify Investment Account;transmit Administrator;vortals Avon
10;47220;Forks Savings Account;Jewelery;Gorgeous
