id;idetapeparam;libelleetapeparam;codeetapeparam
1;72994;Health;drive Frozen
2;20613;Paraguay;District
3;35385;Auto Loan Account overriding mesh;Cove
4;57238;Concrete;copying Keyboard payment
5;72518;sensor;Awesome Soft Sausages Comoros
6;60536;Investor;Bedfordshire Cambridgeshire
7;3607;Cambridgeshire;Bedfordshire
8;49486;bluetooth coherent;responsive connecting Music
9;30786;Computers optical;redundant deliverables
10;85785;Investment Account Rubber Graphical User Interface;SMTP Bedfordshire Frozen
